survey_yr,birth_cohort,counts,age_wmean,polviews_wmean,happy_wmean,conrinc_wmean,dwelown_wmean,been_married_wmean,conrinc_median,is2018,been_married_wmean_binned,dwelown_wmean_binned,age_wmean_binned,relative_youth
1987,1940.0,145,44.95520460956197,3.9792824963364253,1.675992210285999,27631.50571919455,0.7717867753667788,0.9443609441465068,31854.0,0,0.9,0.7000000000000001,40.0,6.0
1987,1945.0,169,39.854892994318355,3.8975376657660004,1.8188140139489386,27514.030745780008,0.696225512557923,0.9494370989557073,31854.0,0,0.9,0.6000000000000001,35.0,5.0
1987,1950.0,215,34.90187203445702,3.8342180043442164,1.8038289817149558,25499.975479232715,0.6363516580688389,0.8429874470576008,28107.0,0,0.8,0.6000000000000001,30.0,4.0
1987,1955.0,208,29.96185478128789,3.94849717846312,1.8723552978485845,21589.32922638911,0.5239989616660881,0.6965255429099828,24359.0,0,0.6000000000000001,0.5,25.0,3.0
1987,1960.0,192,24.852267150207375,3.8859706818245816,1.789473234291967,16808.503495814275,0.3348554607515397,0.42068695365330694,16864.0,0,0.4,0.30000000000000004,20.0,2.0
1987,1965.0,113,20.314494725891922,4.160989910547746,1.9124887740339633,6514.311408800889,0.4339477237195021,0.15054162980570274,8245.0,0,0.1,0.4,20.0,1.0
1988,1910.0,70,75.92522254879715,4.448599626754754,1.6541993608043244,2601.3612757177757,0.49533091656157047,0.8785070893730641,11416.5,0,0.8,0.4,75.0,12.0
1988,1915.0,76,70.63280180557699,4.398434088352704,1.5781228174646933,2423.6791116208283,0.6015659116472948,0.9687508730141224,9423.0,0,0.9,0.6000000000000001,70.0,11.0
1988,1920.0,91,66.00632271328736,4.303802323489927,1.7468270294801869,10030.46601898958,0.5569633823419053,0.9810128014694234,14678.0,0,0.9,0.5,65.0,10.0
1988,1925.0,92,61.054880966725776,4.359761072762638,1.670725675497335,18254.805078064484,0.4756143884231605,0.9756103718749821,27182.0,0,0.9,0.4,60.0,9.0
1988,1930.0,70,56.20000349520146,4.292864277293154,1.792851506364627,24799.61292659942,0.41428623280461674,0.9642857622967236,30806.0,0,0.9,0.4,55.0,8.0
1988,1935.0,77,50.71052357874977,4.256582808549417,1.6710502529611184,28108.825840665446,0.5065809512724824,0.9539494374927256,30806.0,0,0.9,0.5,50.0,7.0
1988,1940.0,104,45.59615123608153,4.211539957979924,1.677884084669911,30806.064642512672,0.43269639680560557,0.9423101631761531,34430.0,0,0.9,0.4,45.0,6.0
1988,1945.0,147,41.16788266518668,4.058400212107141,1.6897781941769445,30984.350443172047,0.5182502809320626,0.956206194517635,30806.0,0,0.9,0.5,40.0,5.0
1988,1950.0,173,36.15181849012586,3.9438992970020417,1.6798644936961247,25644.01425934277,0.514853766734867,0.9339959576685661,27182.0,0,0.9,0.5,35.0,4.0
1988,1955.0,150,30.915496364508698,4.073951035511977,1.757037054708644,25166.725627761738,0.3485943120399308,0.7535248228642317,27182.0,0,0.7000000000000001,0.30000000000000004,30.0,3.0
1988,1960.0,176,26.011696125266422,4.040938639641689,1.7456106512112433,18144.53327650545,0.298248993084351,0.49707982079955637,19933.0,0,0.4,0.2,25.0,2.0
1988,1965.0,129,21.155343531210317,3.9190952860958257,1.6990264001778488,7513.500519842008,0.2783185988933182,0.2265396550831534,7973.0,0,0.2,0.2,20.0,1.0
1989,1910.0,56,76.64044975954454,4.292141307743415,1.6629201371014226,4117.622520096622,0.3370776629399368,0.9325844674120128,19233.0,0,0.9,0.30000000000000004,75.0,12.0
1989,1915.0,63,71.98214076559056,3.9107160650946007,1.6607095094829107,2182.492017013123,0.5446437156158165,0.9732163928751864,12589.0,0,0.9,0.5,70.0,11.0
1989,1920.0,100,66.76743254195922,4.244186496553106,1.674411933448078,9896.655194474042,0.5697665947235655,0.9825594896593175,15736.0,0,0.9,0.5,65.0,10.0
1989,1925.0,80,61.69655036451604,4.248282743990786,1.6551728328546487,11740.115724218205,0.5655217393065621,0.9862079395493477,22730.0,0,0.9,0.5,60.0,9.0
1989,1930.0,76,56.6258035503377,4.290324047582055,1.774188617849208,20622.72923906357,0.6000015158347892,1.0,22730.0,0,0.9,0.6000000000000001,55.0,8.0
1989,1935.0,101,51.640187817997344,4.15887949656579,1.6822400919327376,23633.718416648906,0.49532788092661034,0.9766362023581552,29724.0,0,0.9,0.4,50.0,7.0
1989,1940.0,118,46.92366184026156,4.064884072863148,1.732823914058851,29415.6303267632,0.4771004203643157,0.958016627744045,38467.0,0,0.9,0.4,45.0,6.0
1989,1945.0,134,41.920861804490315,4.007195085705754,1.827336959048018,28794.351139339295,0.521583144229916,0.9424477659033512,33221.0,0,0.9,0.5,40.0,5.0
1989,1950.0,164,36.91864911198972,3.8983077395842396,1.6915223706645657,28147.591810619757,0.48136004720302816,0.8576322955790966,33221.0,0,0.8,0.4,35.0,4.0
1989,1955.0,176,31.930514962281535,3.9123912854448046,1.6827738411914224,23542.46982256081,0.39577333070697074,0.7855036612323436,26227.0,0,0.7000000000000001,0.30000000000000004,30.0,3.0
1989,1960.0,160,27.091209073648784,4.006520537076945,1.7784994473742788,21057.789277721695,0.2508155454604014,0.5928401645695802,19233.0,0,0.5,0.2,25.0,2.0
1989,1965.0,130,21.987693130733078,3.8215359368053,1.7230761630618008,10099.167447041546,0.2707679925006899,0.2276945525174621,12589.0,0,0.2,0.2,20.0,1.0
1990,1915.0,67,72.99999423856933,4.70408523844641,1.663263581612586,3539.116183090585,0.45918602507374623,0.9489825313421829,8718.0,0,0.9,0.4,70.0,11.0
1990,1920.0,79,67.97761070349105,4.43284053753413,1.6716381644737581,11151.371800525847,0.5074663760266969,0.947763458016382,11065.0,0,0.9,0.5,65.0,10.0
1990,1925.0,83,63.025975692471256,4.0909094242085375,1.6753215645298285,18330.87943636841,0.519484519073894,0.9480535034493717,25148.0,0,0.9,0.5,60.0,9.0
